"","L3_Control_heterozygous_1","L3_Control_heterozygous_2","L3_Control_heterozygous_3","L3_Control_heterozygous_4","L3_Control_heterozygous_5","L3_Control_heterozygous_6","L3_Control_heterozygous_7","L3_Control_heterozygous_8","L3_Pantethine_heterozygous_1","L3_Pantethine_heterozygous_2","L3_Pantethine_heterozygous_3","L3_Pantethine_heterozygous_4","L3_Pantethine_heterozygous_5","L3_Pantethine_heterozygous_6","L3_Pantethine_heterozygous_7","L3_Pantethine_heterozygous_8","L3_VitaminB5_heterozygous_1","L3_VitaminB5_heterozygous_2","L3_VitaminB5_heterozygous_3","L3_VitaminB5_heterozygous_4","L3_VitaminB5_heterozygous_5","L3_VitaminB5_heterozygous_6","L3_VitaminB5_heterozygous_7"
"01aa813a4ee64c7277c346f108479043",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"a91611acbc118d349ce76e12b96a6496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,30
"032e95f99a5638ffb73574c69028afe5",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"f6092cf37a7f6664b901d59cbad9f669",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60b63c1511d842882d1c7b874dbae652",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"410a6ca0d3c2066b4bb29dd0964129f3",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"c5805b09f539d798fb515cf0de409c00",22,7,0,0,0,0,0,9,16,0,0,11,0,0,35,16,17,10,0,0,0,0,0
"d7a7dde157606b59d5cd534da7d6e5d3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"0d67396fb8d7936ab75c617b73d87c70",31,16,7,4,19,7,0,12,30,9,4,20,0,14,0,7,49,26,13,21,37,17,21
"b23a63a628803473eb3e6fd54a2f2d35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"c8b68f7a92642d275810e6c6367a808e",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"75221aaf2aebc1894f4861bba655f0ec",6,0,10,0,25,29,0,15,7,6,14,63,16,0,33,13,18,6,8,31,387,13,33
"51e7ef84c837771e717528419fd8608d",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"13e31540432f65cb5f06fcde85b69c8b",215,227,236,249,208,238,280,242,192,216,224,215,234,235,226,209,189,256,237,171,133,245,179
"0fb7a97a9a4889e5864c170d47a86e6e",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"5fd56b580508c74b9d85be24bdda1f8a",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"a339443ba29a208f9944622499b14119",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0aecf2892a9b0e621c6d17b521d70180",133,138,149,158,157,152,152,139,135,130,121,139,140,164,153,140,114,119,141,116,71,147,141
"e12effb6ec1fdeb2f4b3fc5ac9a691ad",191,255,233,214,215,196,201,211,190,190,177,189,215,212,209,185,160,186,213,174,104,187,172
"1b694c6f84f0084e1ae9c3daae94523e",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"e6e4fd1fd4f6f168057365ec4194eb07",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"f47bf520b64d7da67fe8735031b838bc",0,0,13,8,24,19,17,9,0,17,8,0,12,0,5,34,0,0,18,20,0,0,14
"f54fd8b9d401ced106f5c7f2577bb519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"de22c721044eaeb5c1277e89af57d2c5",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e93d99bb4b707cc778350495125dbe3e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"fc00e0833241c56dd7fa7496a24381ef",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"d16d6343884a14260d8211caca8ebf50",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6f58c25ce48fdb1b2f2314c1c3590010",42,9,12,6,29,13,15,14,38,8,10,32,16,10,13,15,45,20,21,11,41,16,14
"1d80402c5c6847ac84a43527a0fbdc58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"89deb6cb897c9c8a0aee7dfaeaa7f2d7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"f84e9803a2ffbfdc120e883b1925792e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"1169750ecdacc3900cd500c284954a24",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41069b7255c8ccf1240019d7d7073fa6",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"36a83aac7ab4be91150091ec80582234",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"53fef383f0c68d779f039c250a3dbf7b",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"c49f005f8f475c9010eb77fc46813950",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bbec5bfeb1481d3cb9351932072d8706",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"29b4ee366a8a09a82e71e576e90b94d8",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"5f47a71c22488266e5bf43b4added981",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"929815229f2d934abee824bbded9fb2d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ebba81cb8cd4673cb1b9ec8b3b836ca9",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66da89d1fda4bf97516f65e325db7829",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"179c1950a52d450a319d94d8f3ab6085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"6dd7c2795e4f42b81404d1a4bae28186",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"17a3016756e5e4ef685081c457783361",0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"f935c7b76d9678b0a312babea54d3c3b",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"a2bb57adb455b161478a2ace1e843e14",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"4679773d72c6f1b22c3c9689930d956c",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cc90a31a038de5008ad426ff1bd8ca6d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"225f2216b71df41fb69e687bc3abc00f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"a9b8b4804ec70e343fa835c572cd966d",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67d9b73145485e41a303df05647e4b32",35,17,18,28,38,19,33,23,52,17,18,22,44,18,20,21,60,15,29,55,115,33,49
"f78cc7f7760af4b14714ac52c94653bc",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2aa3ea9e4b8df3c0af692a139f4d8035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"fe0e7dccf06f9943fd2d70c6b4b1f26b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"977f0ecdccf0178d2abf93b3fb9dea61",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"1794ee47172cc8a4ad6c08511f92c6b9",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
