;Wild type_1;dPANK/fbl_1;dPANK/fbl_2;Wild type_2;Wild type_3;Wild type_4;dPANK/fbl_3;dPANK/fbl_4;Wild type_5;dPANK/fbl_5;Kingdom;Phylum;Class;Order;Family;Genus;Species
4bed4d4e4b0d29348a16799ce4fb8d56;0;0;0;0;0;0;2;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella apicola
4d1a20e6f9886dce7abe029ab3ebf83f;0;0;0;0;1;2;0;2;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;;
4d47bceff19a5cd3c794fb36eea8337f;0;0;0;0;0;1;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Tistrellales;Geminicoccaceae;Candidatus Alysiosphaera;
4dff2276a7315a1f5937f44dbd598e51;0;0;0;0;0;0;0;0;1;0;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
4e1b84fcc58ed8393f034cdc210d922b;0;0;0;0;0;0;0;0;0;1;Bacteria;;;;;;
4f941361fdfb1afbc55bd3f764ad0173;0;0;0;0;0;0;0;0;1;0;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;uncultured Psychrobacter sp.
4fc1e042148cf0216558d99ce14295be;0;0;0;2;0;0;0;0;0;0;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
5022572a354867c17d783b1c522f307f;0;0;0;0;0;2;0;1;0;0;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;;
5045aeb6b118d298a813749a0644167a;0;0;0;0;0;0;0;2;0;0;Bacteria;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
5128eeb5b78852be73c1920ee1e416c0;0;0;0;0;0;1;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;
514470b130d20f71577056cf4e40b1be;0;0;0;0;0;0;2;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
52214e5b0916bd9125e138edd6cbd7a2;0;0;0;0;0;0;0;2;0;0;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
52c522ed7372dd869374dfadc201ae4e;0;0;0;0;0;0;0;0;1;0;Bacteria;Latescibacteria;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium
